0,5
1,11
2,15
3,5
4,13
5,13
6,2
7,3
8,8
9,5
10,12
11,8
12,6
13,4
14,5
15,11
16,7
17,6
18,11
19,11
20,14
21,15
22,4
23,14
24,4
25,14
26,4
27,1
28,2
29,11
30,0
31,14
32,14
33,7
34,6
35,13
36,12
37,0
38,4
39,4
40,6
41,4
42,3
43,6
44,8
45,14
46,14
47,3
48,12
49,11
50,13
51,14
52,0
53,3
54,7
55,0
56,2
57,14
58,5
59,14
60,3
61,7
62,7
63,12
64,3
65,6
66,4
67,11
68,0
69,0
70,15
71,6
72,0
73,4
74,3
75,3
76,4
77,12
78,10
79,7
80,12
81,4
82,3
83,5
84,8
85,5
86,4
87,6
88,13
89,11
90,3
91,4
92,6
93,9
94,8
95,12
96,7
97,6
98,8
99,14
100,0
101,1
102,11
103,9
104,14
105,1
106,13
107,15
108,5
109,13
110,1
111,1
112,14
113,7
114,3
